id,model_make_id,name
294,27,CLK-Class
295,27,CLS-Class
296,27,E-Class
297,27,G-Class
298,27,GL-Class
299,27,ML-Class
300,27,R-Class
301,27,S-Class
302,27,SL-Class
303,27,SLK-Class
304,27,SLR McLaren
305,27,Other
306,28,Grand Marquis
307,28,Mariner
308,28,Milan
309,28,Mauntaineer
310,28,Sable
311,28,Other
312,29,Cooper
313,29,Other
314,30,Eclipse
315,30,Endeavor
316,30,Galant
317,30,Lancer
318,30,Outlander
319,30,Raider Double Cab
320,30,Raider Extended Cab
321,30,Other
322,31,350Z
323,31,Altima
324,31,Armada
325,31,Frontier Crew Cab
326,31,Frontier King Cab
327,31,QT-R
328,31,Maxima
329,31,Murano
330,31,Pathfinder
331,31,Quest
332,31,Rogue
333,31,Sentra
334,31,Titan Crew Cab
335,31,Titan King Cab
336,31,Versa
337,31,Xterra
338,31,Other
339,32,G5
340,32,G6
341,32,G8
342,32,Grand Prix
343,32,Solstice
344,32,Torrent
345,32,Vibe
346,32,Other
347,33,Boxster
348,33,Cayenne
349,33,Cayman
350,33,Other
351,34,Phantom
352,34,Other
353,35,9-7X
354,35,Other
355,36,Astra
356,36,Aura
357,36,Outlook
358,36,SKY
359,36,VUE
360,36,Other
361,37,tC
362,37,xB
363,37,xD
364,37,Other
365,38,fortwo
366,38,Other
367,39,Forester
368,39,Impreza
369,39,Legacy
370,39,Outback
371,39,Tribeca
372,39,Other
373,40,Forenza
374,40,Grand Vitara
375,40,Reno
376,40,SX4
377,40,XL7
378,40,Other
379,41,4Runner
380,41,Avalon
381,41,Camry
382,41,Corolla
383,41,FJ CruiserHighlander
384,41,Land Cruiser
385,41,Matrix
386,41,Prius
387,41,RAV4
388,41,Sequoia
389,41,Sienna
390,41,Solara
391,41,Tacoma Access Cab
392,41,Tacoma Double Cab
393,41,Tacoma Regular Cab
394,41,Tundra CrewMax
395,41,Tundra Double Cab
396,41,Tundra Regular Cab
397,41,Yaris
398,41,Other
399,42,CC
400,42,Eos
401,42,GLI
402,42,GTI
403,42,Jetta
404,42,New Beetle
405,42,Passat
406,42,R32
407,42,Rabbit
408,42,Routan
409,42,Tiguan
410,42,TouaregTouareg 2
411,42,Other
412,43,C30
413,43,C70
414,43,S40
415,43,S60
416,43,S80
417,43,V50V70
418,43,XC70
419,43,XC90
420,43,Other
